name,description_doc,datasheet_doc,keywords_doc,reference,value,footprint
1.5KExxA,"1500W unidirectional TRANSZORB® Transient Voltage Suppressor, DO-201AE",https://www.vishay.com/docs/88301/15ke.pdf,diode TVS voltage suppressor,D,1.5KExxA,Diode_THT:D_DO-201AE_P15.24mm_Horizontal
1.5KExxCA,"1500W bidirectional TRANSZORB® Transient Voltage Suppressor, DO-201AE",https://www.vishay.com/docs/88301/15ke.pdf,diode TVS voltage suppressor,D,1.5KExxCA,Diode_THT:D_DO-201AE_P15.24mm_Horizontal
1N4001,"50V 1A General Purpose Rectifier Diode, DO-41",http://www.vishay.com/docs/88503/1n4001.pdf,diode,D,1N4001,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal
1N4148,"100V 0.15A standard switching diode, DO-35",https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf,diode,D,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal
1N4148WS,"75V 0.15A Fast switching Diode, SOD-323",https://www.vishay.com/docs/85751/1n4148ws.pdf,diode,D,1N4148WS,Diode_SMD:D_SOD-323
1N4148WT,"75V 0.15A Fast switching Diode, SOD-523",https://www.diodes.com/assets/Datasheets/ds30396.pdf,diode,D,1N4148WT,Diode_SMD:D_SOD-523
1N53xxB,"5000mW Zener Diode, DO-201",https://diotec.com/tl_files/diotec/files/pdf/datasheets/1n5345b.pdf,zener diode,D,1N53xxB,Diode_THT:D_DO-201_P15.24mm_Horizontal
1N5400,"50V 3A General Purpose Rectifier Diode, DO-201AD",http://www.vishay.com/docs/88516/1n5400.pdf,diode,D,1N5400,Diode_THT:D_DO-201AD_P15.24mm_Horizontal
1N5711UR,"70V 33mA Schottky diode, MELF(DO-213AA)",https://www.microsemi.com/document-portal/doc_download/131890-lds-0040-1-datasheet,diode Schottky,D,1N5711UR,Diode_SMD:D_MELF
1N5820,"20V 3A Schottky Barrier Rectifier Diode, DO-201AD",http://www.vishay.com/docs/88526/1n5820.pdf,diode Schottky,D,1N5820,Diode_THT:D_DO-201AD_P15.24mm_Horizontal
1N6263,"60V 15mA Schottky diode, DO-35",www.st.com/resource/en/datasheet/1n6263.pdf,diode Schottky,D,1N6263,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal
2BZX84Cxx,"300mW Double Zener Diode, SOT-23",https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzx84c2v4.pdf,zener diode,D,2BZX84Cxx,Package_TO_SOT_SMD:SOT-23
5KPxxA,"5000W unidirectional Transient Voltage Suppressor, P-600",https://diotec.com/tl_files/diotec/files/pdf/datasheets/5kp65.pdf,diode TVS voltage suppressor,D,5KPxxA,Diode_THT:D_P600_R-6_P20.00mm_Horizontal
5KPxxCA,"5000W bidirectional Transient Voltage Suppressor, P-600",https://diotec.com/tl_files/diotec/files/pdf/datasheets/5kp65.pdf,diode TVS voltage suppressor,D,5KPxxCA,Diode_THT:D_P600_R-6_P20.00mm_Horizontal
B120-E3,"20V 1A Schottky Barrier Rectifier Diode, SMA(DO-214AC)",http://www.vishay.com/docs/88946/b120.pdf,diode Schottky,D,B120-E3,Diode_SMD:D_SMA
B220,"20V 2A Schottky Barrier Rectifier Diode, SMB",http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf,diode Schottky,D,B220,Diode_SMD:D_SMB
B320,"20V 3A Schottky Barrier Rectifier Diode, SMC",http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf,diode Schottky,D,B320,Diode_SMD:D_SMC
BAR42FILM,"30V 0.1A Small signal Schottky diode, SOT-23",www.st.com/resource/en/datasheet/bar42.pdf,diode Schottky,D,BAR42FILM,Package_TO_SOT_SMD:SOT-23
BAS16TW,Fast switching diode array 3 independent,http://www.diodes.com/datasheets/ds30154.pdf,diode,D,BAS16TW,Package_TO_SOT_SMD:SOT-363_SC-70-6
BAS16W,"100V, 0.175A, High-speed Switching Diode, SOT-323",https://assets.nexperia.com/documents/data-sheet/BAS16_SER.pdf,diode,D,BAS16W,Package_TO_SOT_SMD:SOT-323_SC-70
BAS40-04,40V 0.2A Dual Small Signal Schottky Diodes,http://www.vishay.com/docs/85701/bas40v.pdf,"Schottky, Diode",D,BAS40-04,Package_TO_SOT_SMD:SOT-23
BAT48JFILM,"40V 0.35A Small Signal Schottky Diode, SOD-323",www.st.com/resource/en/datasheet/bat48.pdf,diode Schottky,D,BAT48JFILM,Diode_SMD:D_SOD-323
BAT48ZFILM,"40V 0.35A Small Signal Schottky Diode, SOD-123",www.st.com/resource/en/datasheet/bat48.pdf,diode Schottky,D,BAT48ZFILM,Diode_SMD:D_SOD-123
BAT54A,schottky barrier diode,http://www.diodes.com/_files/datasheets/ds11005.pdf,schottky diode,D,BAT54A,Package_TO_SOT_SMD:SOT-23
BAT54ADW,Schottky diode array 2 pair Com A,http://www.diodes.com/datasheets/ds30152.pdf,diode,D,BAT54ADW,Package_TO_SOT_SMD:SOT-363_SC-70-6
BAT54AW,"Dual schottky barrier diode, common anode, SOT-323",https://assets.nexperia.com/documents/data-sheet/BAT54W_SER.pdf,dual schottky diode,D,BAT54AW,Package_TO_SOT_SMD:SOT-323_SC-70
BAT54C,"dual schottky barrier diode, common cathode",http://www.diodes.com/_files/datasheets/ds11005.pdf,schottky diode common cathode,D,BAT54C,Package_TO_SOT_SMD:SOT-23
BAT54CW,"Dual schottky barrier diode, common cathode, SOT-323",https://assets.nexperia.com/documents/data-sheet/BAT54W_SER.pdf,dual schottky diode,D,BAT54CW,Package_TO_SOT_SMD:SOT-323_SC-70
BAT54S,schottky barrier diode,https://www.diodes.com/assets/Datasheets/ds11005.pdf,schottky diode,D,BAT54S,Package_TO_SOT_SMD:SOT-23
BAT54SW,"Dual schottky barrier diode, in series, SOT-323",https://assets.nexperia.com/documents/data-sheet/BAT54W_SER.pdf,dual schottky diode,D,BAT54SW,Package_TO_SOT_SMD:SOT-323_SC-70
BAT54W,"Schottky barrier diode, SOT-323",https://assets.nexperia.com/documents/data-sheet/BAT54W_SER.pdf,schottky diode,D,BAT54W,Package_TO_SOT_SMD:SOT-323_SC-70
BAV70,"Dual 100V 215mA high-speed switching diodes, common cathode, SOT-23",https://assets.nexperia.com/documents/data-sheet/BAV70_SER.pdf,diode,D,BAV70,Package_TO_SOT_SMD:SOT-23
BAV70M,"Dual 100V 150mA high-speed switching diodes, common cathode, SOT-883",https://assets.nexperia.com/documents/data-sheet/BAV70_SER.pdf,diode,D,BAV70M,Package_TO_SOT_SMD:SOT-883
BAV70S,"100V 250mA high-speed switching diodes, dual common cathode, SOT-363",https://assets.nexperia.com/documents/data-sheet/BAV70_SER.pdf,diode,D,BAV70S,Package_TO_SOT_SMD:SOT-363_SC-70-6
