name,description_doc,datasheet_doc,keywords_doc,reference,value,footprint
171050601,"MagI3C Power Module, Variable Step Down Regulator Module, 6 to 36V Input Voltage, 0.8 to 6V, 5A Output, TO-263",https://katalog.we-online.de/pm/datasheet/171050601.pdf,power module regulator,U,171050601,Package_TO_SOT_SMD:TO-263-7_TabPin8
A4403GEU,"Valley current mode buck converter, 46V, 3A, up to 2MHz, QFN-16",https://www.allegromicro.com/~/media/Files/Datasheets/A4403-Datasheet.ashx,buck regulator adjustable,U,A4403GEU,Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm
AAT1217ICA-1.2,"600mA, 2.5-5.5V, 1.2MHz, Micropower Synchronous Step-Up Converter, TSOT-23-6",http://www.skyworksinc.com/uploads/documents/AAT1217_202050B.pdf,regulator step-up adjustable,U,AAT1217ICA-1.2,Package_TO_SOT_SMD:TSOT-23-6
AAT1217IGU-3.3,"600mA, 3.3V, 1.2MHz, Micropower Synchronous Step-Up Converter, SOT-23-6",http://www.skyworksinc.com/uploads/documents/AAT1217_202050B.pdf,regulator step-up,U,AAT1217IGU-3.3,Package_TO_SOT_SMD:SOT-23-6
ADP2108AUJ-1.0,"3MHz switching bucK regulator, 600mA 1.0V output voltage,",https://www.analog.com/media/en/technical-documentation/data-sheets/ADP2108.pdf,Voltage regulator switching buck fixed output analog,U,ADP2108AUJ-1.0,Package_TO_SOT_SMD:TSOT-23-5
ADP2302ARDZ,Nonsynchronous Step-Down Regulator 2 Amp Vout Adjustable SOIC-8,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP2302_2303.pdf,Step-Down Regulator,U,ADP2302ARDZ,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm
ADP5054,"250kHz to 2MHz, 6A/6A/2A/2A Quad Buck Regulator, -40 to +125C, QFN-48",https://www.analog.com/media/en/technical-documentation/data-sheets/ADP5054.pdf,quad regulator dcdc buck synchronizable parallel,U,ADP5054,Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm
ADP5070AREZ,1A/0.6A DC-to-DC Switching Regulator with Independent Positive and Negative Outputs,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP5070.pdf,voltage regulator switching inverter double positive negative,U,ADP5070AREZ,Package_SO:ETSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP3x4.2mm
ADuM6000,Isolated 5 kV DC-to-DC Converter,https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM6000.PDF,Isolated DC-to-DC Converter 5kV,U,ADuM6000,
AOZ1280CI,"1.2 A Simple Buck Regulator, 3-26V input, 1.5Mhz",http://aosmd.com/res/data_sheets/AOZ1280CI.pdf,switching buck converter,U,AOZ1280CI,Package_TO_SOT_SMD:SOT-23-6
AP6502,340kHz 18V 2A Synchronois DC/DC Buck Converter,https://www.diodes.com/assets/Datasheets/AP6502.pdf,buck switching converter,U,AP6502,
AP65111AWU,"1.5A, 500kHz Buck DC/DC Converter, adjustable output voltage, TSOT-23-6",https://www.diodes.com/assets/Datasheets/AP65111A.pdf,1.5A 500kHz PWM Buck DC/DC,U,AP65111AWU,Package_TO_SOT_SMD:TSOT-23-6
APE1707H-33-HF,"2A, 150KHz PWM Buck DC/DC Converter, fixed 3.3V output voltage, TO-252-5 (D-PAK)",http://pdf.datasheet.live/datasheets-1/advanced_power_electronics/APE1707H-12-HF.pdf,3.3V 2A 150KHz PWM Buck DC/DC,U,APE1707H-33-HF,Package_TO_SOT_SMD:TO-252-5_TabPin3
APE1707M-33-HF,"2A, 150KHz PWM Buck DC/DC Converter, fixed 3.3V output voltage, SO-8",http://files.remont-aud.net/baza/dc_dc/data/APE1707.pdf,3.3V 2A 150KHz PWM Buck DC/DC,U,APE1707M-33-HF,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
APE1707S-33-HF,"2A, 150KHz PWM Buck DC/DC Converter, fixed 3.3V output voltage, TO-263-5 (DD-PAK)",http://pdf.datasheet.live/datasheets-1/advanced_power_electronics/APE1707S-12-HF.pdf,3.3V 2A 150KHz PWM Buck DC/DC,U,APE1707S-33-HF,Package_TO_SOT_SMD:TO-263-5_TabPin3
BD9001F,"48V 2A, Flexible Step-Down Switching Regulator, SO-8",http://rohmfs.rohm.com/en/products/databook/datasheet/ic/power/switching_regulator/bd9778f-e.pdf,DC-DC Step-Down Switching Regulator,U,BD9001F,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
BD9778F,"35V 2A, Flexible Step-Down Switching Regulator, SO-8",http://rohmfs.rohm.com/en/products/databook/datasheet/ic/power/switching_regulator/bd9778f-e.pdf,DC-DC Step-Down Switching Regulator,U,BD9778F,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
BD9778HFP,"35V 2A, Flexible Step-Down Switching Regulator, HRP7",http://rohmfs.rohm.com/en/products/databook/datasheet/ic/power/switching_regulator/bd9778f-e.pdf,DC-DC Step-Down Switching Regulator,U,BD9778HFP,Package_TO_SOT_SMD:Rohm_HRP7
BD9781HFP,"35V 4A, Flexible Step-Down Switching Regulator, HRP7",http://rohmfs.rohm.com/en/products/databook/datasheet/ic/power/switching_regulator/bd9778f-e.pdf,DC-DC Step-Down Switching Regulator,U,BD9781HFP,Package_TO_SOT_SMD:Rohm_HRP7
BD9G341EFJ,"12V-76V input voltage range 3A output current, Buck Converter, Integrated FET, HTSOP-8",https://media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/BD9G341EFJ.pdf,Buck Converter,U,BD9G341EFJ,Package_SO:HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.4x3.2mm_ThermalVias
CRE1S0505DC,"5V to 5V 200mA DC-DC Converter with 1kV isolation, DC-package",http://power.murata.com/datasheet?/data/power/ncl/kdc_cre1.pdf,Murata isolated isolation dc-dc converter transformer,U,CRE1S0505DC,Converter_DCDC:Converter_DCDC_muRata_CRE1xxxxxxDC_THT
CRE1S0505S3C,"5V to 5V 200mA, Isolated 2W Single-Output DC-DC Converter Modules with 3kV isolation, SIP-4",http://power.murata.com/datasheet?/data/power/ncl/kdc_cre1.pdf,Murata isolated isolation dc-dc converter transformer,U,CRE1S0505S3C,Converter_DCDC:Converter_DCDC_muRata_CRE1xxxxxx3C_THT
CRE1S0505SC,"5V to 5V 200mA DC-DC Converter with 1kV isolation, SIP-4",http://power.murata.com/datasheet?/data/power/ncl/kdc_cre1.pdf,Murata isolated isolation dc-dc converter transformer,U,CRE1S0505SC,Converter_DCDC:Converter_DCDC_muRata_CRE1xxxxxxSC_THT
FSBH0170,"Green Mode Fairchild Power Switch, 700V Vds, 1.0A Id, 15W/13W 230V/85-265V, VIN Pin, DIP-8",https://www.fairchildsemi.com/datasheets/FS/FSBH0370.pdf,smps regulator,U,FSBH0170,Package_DIP:DIP-8_W7.62mm
FSBH0F70A,"Green Mode Fairchild Power Switch, 700V Vds, 0.5A Id, 10W/8W 230V/85-265V, DIP-8",https://www.fairchildsemi.com/datasheets/FS/FSBH0370.pdf,smps regulator,U,FSBH0F70A,Package_DIP:DIP-8_W7.62mm
FSDH321,"17W SMPS Controller, 100kHz, AC-DC, PDIP-8",www.fairchildsemi.com/ds/FS/FSDH321.pdf,SMPS Controller with MOSFET 17W AC-DC,U,FSDH321,Package_DIP:DIP-8_W7.62mm
FSDH321L,"17W SMPS Controller, 100kHz, AC-DC, SMD-8",www.fairchildsemi.com/ds/FS/FSDH321.pdf,SMPS Controller with MOSFET 17W AC-DC,U,FSDH321L,Package_DIP:Fairchild_LSOP-8
FSL136MRT,"67kHz SMPS Controller w/ Soft Start, max. 50W AC-DC, TO-220F-6L",http://www.fairchildsemi.com/ds/FS/FSL136MRT.pdf,SMPS Controller 50W AC-DC,U,FSL136MRT,Package_TO_SOT_THT:Fairchild_TO-220F-6L
FSQ0565RSWDTU,"67kHz Quasi Resonant SMPS Controller w/ Soft Start, max. 80W AC-DC, TO-220F-6L",http://www.onsemi.com/pub/Collateral/FSQ0565RS-D.PDF,Quasi Resonant SMPS Controller 80W AC-DC,U,FSQ0565RSWDTU,Package_TO_SOT_THT:Fairchild_TO-220F-6L
GL2576-3.3SF8DR,"3.3V 3A, 52KHz Step Down Converter, SO-8",http://www.dianyuan.com/bbs/u/54/437861181916300.pdf,3.3V 3A 52KHz Buck DC/DC,U,GL2576-3.3SF8DR,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
ISL8117FRZ,"Synchronous step-down PWM controller, 4.5v to 60v input, 0.6v to 54v Output Voltage, QFN-16",https://www.intersil.com/content/dam/Intersil/documents/isl8/isl8117.pdf,PWM step down buck converter controller synchronous POL,U,ISL8117FRZ,Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.5mm_EP2.45x2.45mm
ISL8117FVEZ,"Synchronous step-down PWM controller, 4.5v to 60v input, 0.6v to 54v Output Voltage, HTSSOP-16",https://www.intersil.com/content/dam/Intersil/documents/isl8/isl8117.pdf,PWM step down buck converter controller synchronous POL,U,ISL8117FVEZ,Package_SO:HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm
KA5H02659RN,"100kHz SMPS Controller, AC-DC, PDIP-8",http://www.onsemi.com/pub/Collateral/KA5L0265R-D.PDF,SMPS Controller AC-DC,U,KA5H02659RN,Package_DIP:DIP-8_W7.62mm
KA5H0265RCTU,"100kHz SMPS Controller w/ Soft Start, AC-DC, TO-220F-5L",http://www.onsemi.com/pub/Collateral/KA5L0265R-D.PDF,SMPS Controller AC-DC,U,KA5H0265RCTU,Package_TO_SOT_THT:ONSemi_TO-220-5L
KA5H0265RCYDTU,"KA5H0265RCTU, 100kHz SMPS Controller w/ Soft Start, AC-DC, TO-220F-5L(Forming)",http://www.onsemi.com/pub/Collateral/KA5L0265R-D.PDF,SMPS Controller AC-DC,U,KA5H0265RCYDTU,Package_TO_SOT_THT:ONSemi_TO-220-5L_Forming
KA5M0265RTU,"67kHz SMPS Controller, AC-DC, TO-220F-4L",http://www.onsemi.com/pub/Collateral/KA5L0265R-D.PDF,SMPS Controller AC-DC,U,KA5M0265RTU,Package_TO_SOT_THT:TO-220-4_Vertical
KA5M0265RYDTU,"67kHz SMPS Controller, AC-DC, TO-220F-4L(Forming)",http://www.onsemi.com/pub/Collateral/KA5L0265R-D.PDF,SMPS Controller AC-DC,U,KA5M0265RYDTU,Package_TO_SOT_THT:ONSemi_TO-220F-4L_Forming
L5973D,"2.5A step down switching regulator, HSOP-8",http://www.st.com/resource/en/datasheet/l5973d.pdf,step down buck regulator,U,L5973D,Package_SO:HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias
LD7575,"Green-Mode PWM Controller with High-Voltage Start-Up Circuit, DIP-8/SOIC-8",http://www.leadtrend.com.tw/archive/doc/product/sheets/LD7575-DS-04b.pdf,smps controller,U,LD7575,
LM22676MR-ADJ,"3A Step-Down Switching Voltage Regulater, 4.5-42V Input, Adjustable Output, 500kHz Switching Frequency, SOIC-8",http://www.ti.com/lit/ds/symlink/lm22676.pdf,DC/DC Buck Converter 3A,U,LM22676MR-ADJ,Package_SO:TI_SO-PowerPAD-8
LM25085MM,"42V Constant On-Time PFET Buck Switching Controller, MSOP-8",http://www.ti.com/lit/ds/symlink/lm25085.pdf,buck switching contoller,U,LM25085MM,Package_SO:MSOP-8_3x3mm_P0.65mm
LM25085MY,"42V Constant On-Time PFET Buck Switching Controller, MSOP-8-EP",http://www.ti.com/lit/ds/symlink/lm25085.pdf,buck switching contoller,U,LM25085MY,Package_SO:MSOP-8-1EP_3x3mm_P0.65mm_EP1.73x1.85mm_ThermalVias
LM25085SD,"42V Constant On-Time PFET Buck Switching Controller, WSON-8",http://www.ti.com/lit/ds/symlink/lm25085.pdf,buck switching contoller,U,LM25085SD,Package_SON:WSON-8-1EP_3x3mm_P0.5mm_EP1.6x2.0mm
LM2574HVM-12,"12V, 0.5A Step-Down Voltage Regulator, High Voltage Input, SO-8",http://www.ti.com/lit/ds/symlink/lm2574.pdf,Step-Down Voltage Regulator 12V 500mA HV,U,LM2574HVM-12,Package_SO:SOIC-14W_7.5x9mm_P1.27mm
LM2574HVN-12,"12V, 0.5A Step-Down Voltage Regulator, High Voltage Input, DIP-8",http://www.ti.com/lit/ds/symlink/lm2574.pdf,Step-Down Voltage Regulator 12V 500mA HV,U,LM2574HVN-12,Package_DIP:DIP-8_W7.62mm
LM2576HVS-12,"12V, 3A SIMPLE SWITCHER® Step-Down Voltage Regulator, High Voltage Input, TO-263",http://www.ti.com/lit/ds/symlink/lm2576.pdf,Step-Down Voltage Regulator 12V 3A High Voltage,U,LM2576HVS-12,Package_TO_SOT_SMD:TO-263-5_TabPin3
LM2576HVT-12,"12V, 3A SIMPLE SWITCHER® Step-Down Voltage Regulator, High Voltage Input, TO-220-5",http://www.ti.com/lit/ds/symlink/lm2576.pdf,Step-Down Voltage Regulator 12V 3A High Voltage,U,LM2576HVT-12,Package_TO_SOT_THT:TO-220-5_Vertical
LM2594M-3.3,"3.3V, 0.5A SIMPLE SWITCHER® Step-Down Voltage Regulator, Maximum VIN 45V, SOIC-8",http://www.ti.com/lit/ds/symlink/lm2594.pdf,buck converter regulator step-down voltage simple switcher fixed,U,LM2594M-3.3,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
LM2594N-3.3,"3.3V, 0.5A SIMPLE SWITCHER® Step-Down Voltage Regulator, Maximum VIN 45V, DIP-8",http://www.ti.com/lit/ds/symlink/lm2594.pdf,buck converter regulator step-down voltage simple switcher fixed,U,LM2594N-3.3,Package_DIP:DIP-8_W7.62mm
